emd_nm,center_long,center_lati
청운효자동,126.9704175,37.58465806
사직동,126.9701437,37.57410805
삼청동,126.9811137,37.58801344
부암동,126.9625567,37.59669866
평창동,126.969274,37.61396501
무악동,126.9589891,37.57774075
교남동,126.964161,37.57105298
가회동,126.9866182,37.58267644
종로1.2.3.4가동,126.9897333,37.57507655
종로5.6가동,127.004241,37.573016
이화동,127.0030693,37.57969001
혜화동,126.9976891,37.58747148
창신제1동,127.0140191,37.57226265
창신제2동,127.0102517,37.57575481
창신제3동,127.0132088,37.57881917
숭인제1동,127.0168612,37.57722518
숭인제2동,127.0206376,37.57430675
